departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_158;false;AUH;2019-10-31;02:15;EY;49;BCN;2019-10-31;06:50;[];null;null;null;null;null;null;BCN;2019-10-31;15:45;VY;8308;AMS;2019-10-31;18:15;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_159;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:25;KL;936;AMS;2019-10-31;16:10;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_161;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:20;BA;8966;AMS;2019-10-31;16:05;[(EI-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_161;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:20;EI;null;AMS;2019-10-31;16:05;[(BA-8966)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_163;false;AUH;2019-10-31;02:35;EY;15;MAN;2019-10-31;06:40;[];null;null;null;null;null;null;MAN;2019-10-31;13:40;KL;1076;AMS;2019-10-31;16:00;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_164;false;AUH;2019-10-31;02:45;EY;1;FRA;2019-10-31;06:45;[];null;null;null;null;null;null;FRA;2019-10-31;16:30;LH;996;AMS;2019-10-31;17:45;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_165;false;AUH;2019-10-31;02:20;EY;57;BRU;2019-10-31;06:50;[];null;null;null;null;null;null;BRU;2019-10-31;18:05;WA;1732;AMS;2019-10-31;19:00;[(KL-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_165;false;AUH;2019-10-31;02:20;EY;57;BRU;2019-10-31;06:50;[];null;null;null;null;null;null;BRU;2019-10-31;18:05;KL;1732;AMS;2019-10-31;19:00;[(WA-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_166;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:20;EY;7906;AMS;2019-10-31;16:05;[(EI-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_166;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:20;EI;null;AMS;2019-10-31;16:05;[(EY-7906)];null;null;null;null;null;null;
