AIP;31.433056;75.760556
AIR;-10.25;-59.383333
AIS;-2.65;176.833333
AIT;-18.829443;-159.766992
AIU;-19.967872;-158.119014
AIV;33.133333;-88.15
AIW;-27.983333;17.583333
AIY;39.36;-74.457222
AIZ;38.098333;-92.547222
AJA;41.919867;8.794013
AJF;29.788668;40.101486
AJI;39.65;43.025
AJJ;19.730556;-14.374444
AJK;34.134875;49.842483
AJL;23.838986;92.624815
AJN;-12.131109;44.430473
AJO;15.716667;44.25
AJR;65.591389;19.285556
AJS;26.833333;-113.666667
AJU;-10.987206;-37.072791
AJY;16.964167;7.993056
AKA;32.7091;108.936
AKB;52.217222;-174.200833
AKC;41.035899;-81.468098
AKD;20.666667;77.083333
AKE;-1.172222;13.916667
AKF;24.183924;23.320841
AKG;-3.633333;142.016667
AKH;24.063333;47.580556
AKI;60.905556;-161.223333
AKJ;43.671091;142.454546
AKK;56.944444;-154.166667
AKL;-37.004786;174.783524
AKM;10.883333;19.816667
AKN;58.682741;-156.669016
AKO;40.166667;-103.216667
AKP;68.1375;-151.74
AKQ;-4.616667;105.233333
AKR;7.250303;5.300223
AKS;-8.70428;160.681469
AKT;34.590395;32.987887
AKU;41.259984;80.292618
AKV;60.733333;-78.583333
AKW;30.75;49.683333
AKX;50.249336;57.211403
AKY;20.130278;92.880278
ALA;43.346652;77.011455
ALB;42.745279;-73.809556
ALC;38.287098;-0.557381
ALD;-11.683333;-69.333333
ALE;30.3871;-103.680778
ALF;69.977167;23.355809
ALG;36.697892;3.207136
ALH;-34.944997;117.804001
ALI;27.7409;-98.026901
ALJ;-28.574996;16.53333
ALK;7.966667;39.116667
ALL;44.05;8.216667
ALM;32.845833;-105.985278
ALN;38.891667;-90.048333
ALO;42.556111;-92.399722
ALP;36.185351;37.227073
ALQ;-29.799722;-55.763333
ALR;-45.213889;169.369444
ALS;37.436667;-105.866667
ALT;-1.933333;-54.766667
ALU;11.966667;50.8
ALV;42.5;1.516667
ALW;46.094722;-118.291111
ALX;32.933333;-85.95
ALY;31.192545;29.953059
ALZ;56.897686;-154.248486
AMA;35.218274;-101.705134
AMB;-13.183333;48.983333
AMC;11.033333;20.283333
AMD;23.066389;72.624167
AME;-15.833333;37.583333
AMF;-4.166667;141.666667
AMG;-4.616667;143.7
AMH;6.036111;37.576944
AMI;-8.563165;116.102375
AMJ;-16.183333;-40.683333
AMK;37.203201;-107.869003
AML;8.266667;-82.866667
AMM;31.722535;35.989318
AMN;43.383333;-84.65
AMO;14.116667;15.316667
AMP;-24.7;44.733333
AMQ;-3.704996;128.088876
AMR;36.834446;-2.456111
AMS;52.309069;4.763385
AMT;-26.766667;132.033333
AMU;-3.516667;141.15
AMV;69.761503;61.574462
AMW;41.994167;-93.618333
AMX;-21.74;135.24
AMY;-17.683333;45.666667
AMZ;-37.029957;174.975362
ANA;-1.271581;34.955333
ANB;33.588193;-85.8581
ANC;61.174444;-149.996389
AND;34.493611;-82.71
ANE;47.560351;-0.312245
ANF;-23.449;-70.440789
ANG;45.727359;0.218923
ANH;-8.983333;160.5
ANI;61.574399;-159.536971
ANJ;-2.85;13.833333
ANK;39.950283;32.689136
ANL;-11.25;17.25
ANM;-14.999396;50.320257
ANN;55.036944;-131.570556
ANO;-16.177778;39.936944
ANP;38.983333;-76.5
ANQ;41.633333;-85
ANR;51.18916;4.450672
ANS;-13.716667;-73.355833
ANT;47.119631;10.24061
ANU;17.139383;-61.791717
ANV;62.647778;-160.188889
ANW;42.55;-99.866667
ANX;69.292486;16.144184
ANY;37.15;-98.033333
ANZ;-25.083333;132.166667
AOA;-9.05;146.8
AOB;-4.916667;144.65
AOC;50.981945;12.506389
AOD;11.474722;19.288889
AOE;39.81;30.519444
AOG;41.105975;122.853926
AOH;40.766667;-84.1
AOI;43.606911;13.355723
AOJ;40.738757;140.689224
AOK;35.420683;27.146728
AOL;-29.683333;-57.15
AOM;22.492391;57.383473
AON;-6.333333;146
AOO;40.297222;-78.32
AOP;-2.791389;-76.474722
AOQ;72.887041;-55.596145
AOR;6.191186;100.396629
AOS;57.470987;-153.815706
AOT;45.738611;7.3625
AOU;14.8;106.833333
AOY;27.466667;52.616667
APA;39.572123;-104.848713
APB;-14.716667;-68.516667
APC;38.212222;-122.28
APE;-11.933333;-69.083333
APF;26.152778;-81.775278
APG;39.5;-76.166667
APH;38.05;-77.35
APK;-15.572857;-146.414129
APL;-15.101667;39.287222
APN;45.081667;-83.555833
APO;7.817678;-76.71766
APP;-8.983333;148.133333
APQ;-9.75;-36.65
APR;-8.5;145
APS;-16.360671;-48.924353
APT;35.066667;-85.5
APU;-23.55;-51.483333
APV;34.526389;-117.212778
APW;-13.832793;-171.997244
APX;-23.483333;-51.466667
APY;-9.133333;-45.933333
APZ;-38.916667;-70.083333
AQA;-21.806642;-48.136911
AQG;30.5825;117.0509
AQI;28.334408;46.121316
AQJ;29.610074;35.021511
AQM;-9.933333;-63.066667
AQP;-16.344812;-71.567993
AQS;-17;170.9
AQY;60.966667;-149.116667
ARA;30.037778;-91.883889
ARB;42.224912;-83.74559
ARC;68.1375;-145.524444
ARD;-8.132639;124.598106
ARE;18.45;-66.675833
ARF;0.533333;-70.133333
ARG;36.066667;-90.95
ARH;64.597581;40.713989
ARI;-18.349765;-70.335559
ARJ;-2.933333;140.783333
ARK;-3.366667;36.683333
ARL;11.597078;1.482278
ARM;-30.532297;151.61493
ARN;59.649818;17.930364
ARO;8.85;-76.433333
ARP;-9.8;149.5
ARQ;7.033056;-71.431667
ARR;-45.033333;-70.833333
ARS;-15.9;-52.233333
ART;43.990833;-76.021389
ARU;-21.143611;-50.426111
ARV;45.924167;-89.732222
ARW;46.17201;21.276296
ARY;-37.316667;143
ARZ;-7.5;13.5
ASA;13.07;42.638333
ASB;37.984183;58.366978
ASC;-15.916667;-63.15
ASD;24.697778;-77.796111
ASE;39.219685;-106.864688
ASF;46.287699;47.999979
ASG;-43.9;171.783333
ASH;42.7817;-71.514801
ASI;-7.969604;-14.393682
ASJ;28.431522;129.707933
ASK;6.816667;-5.283333
ASL;32.55;-94.383333
ASM;15.291111;38.910278
ASN;33.571351;-86.05219
ASO;10.047222;34.536667
ASP;-23.801389;133.903384
ASQ;39.466667;-117.166667
ASR;38.770293;35.494891
ASS;-24.736469;31.514126
AST;46.159722;-123.88
ASU;-25.241795;-57.513795
ASV;-2.633333;37.25
ASW;23.968022;32.824818
ASX;46.55;-90.916667
ASY;46.033333;-99.366667
ASZ;-5.866667;150.366667
ATA;-9.347222;-77.6
ATB;17.716667;34.016667
ATC;24.628611;-75.671389
ATD;-8.866667;161.033333
ATE;34.233333;-95.616667
ATF;-1.083333;-78.7
ATG;33.9;72.25
ATH;37.93635;23.946486
ATI;-30.4;-56.508333
ATJ;-19.835319;47.066926
ATK;70.5;-157.333333
ATL;33.640067;-84.44403
ATM;-3.2;-52.216667
ATN;-3.666667;152.466667
ATO;39.333333;-82.1
ATP;-3.166667;142.283333
ATQ;31.705398;74.806739
ATR;20.499444;-13.046389
ATS;32.848333;-104.466944
ATT;60.866594;-162.273678
ATU;52.825833;173.172778
ATV;13.242222;18.3075
ATW;44.26011;-88.509943
ATX;51.848956;68.36221
ATY;44.908889;-97.154167
ATZ;27.052679;31.011268
AUA;12.502222;-70.013889
AUB;-5.766667;-63.35
AUC;7.071667;-70.7425
AUD;-18.506944;139.881667
AUE;28.9;33.183333
AUF;47.85;3.5
AUG;44.318056;-69.796667
AUH;24.426912;54.645974
AUI;-1.458333;143.075
AUJ;-4.25;142.85
AUK;62.689167;-164.610833
AUL;8.133333;171.166667
AUM;43.666667;-92.983333
AUN;38.9;-121.066667
AUO;32.615046;-85.433875
AUP;-9.925346;149.392351
AUQ;-9.768596;-139.009944
AUR;44.8975;2.418056
AUS;30.202545;-97.667064
AUT;-8.216667;125.583333
AUU;-13.356451;141.721917
AUV;-5.716667;148.433333
AUW;44.926188;-89.626599
AUX;-7.2;-48.2
AUY;-20.333333;169.666667
AUZ;41.770365;-88.471194
AVA;26.260049;105.872814
AVB;46.033333;12.6
AVF;46.2;6.766667
AVG;-15.65;130.016667
AVI;22.025;-78.791389
AVK;46.266667;102.783333
AVL;35.43508;-82.537314
AVN;43.906542;4.902082
AVO;27.6;-81.516667
AVP;41.336698;-75.730643
AVU;-9.833333;160.383333
AVV;-38.026372;144.473084
AVW;32.407605;-111.215615
AVX;33.4049;-118.416
AWA;7.062777;38.490802
AWB;-8.016667;142.75
AWD;-19.25;169.5
AWE;-0.75;9.45
AWH;8.266667;44.183333
AWK;19.283333;166.633333
AWM;35.137882;-90.231974
AWN;-26.25;138.666667
AWP;-20.5;137.75
AWR;-4.124167;144.870278
AWT;33.876628;74.975681
